timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1790008063770,20,HTTP Request 100kb,200,OK,Thread Group 1-7,text,true,,134302,132,10,10,http://192.168.122.168/page_100k.html,17,0,12
1790008063770,20,HTTP Request 100kb,200,OK,Thread Group 1-6,text,true,,134302,132,10,10,http://192.168.122.168/page_100k.html,17,0,12
1790008063770,20,HTTP Request 100kb,200,OK,Thread Group 1-5,text,true,,134302,132,10,10,http://192.168.122.168/page_100k.html,17,0,12
1790008063770,20,HTTP Request 250kb,200,OK,Thread Group 1-2,text,true,,255818,132,10,10,http://192.168.122.168/page_250k.html,17,0,12
1790008063770,20,HTTP Request 1mb,200,OK,Thread Group 1-1,text,true,,1047707,130,10,10,http://192.168.122.168/page_1m.html,17,0,12
1790008063770,20,HTTP Request 500kb,200,OK,Thread Group 1-8,text,true,,669514,132,10,10,http://192.168.122.168/page_500k.html,17,0,12
1790008063771,19,HTTP Request 500kb,200,OK,Thread Group 1-3,text,true,,669514,132,10,10,http://192.168.122.168/page_500k.html,16,0,11
1790008063771,19,HTTP Request 1mb,200,OK,Thread Group 1-4,text,true,,1047707,130,10,10,http://192.168.122.168/page_1m.html,16,0,11
1790008063777,12,HTTP Request 750kb,200,OK,Thread Group 1-9,text,true,,767818,132,10,10,http://192.168.122.168/page_750k.html,9,0,4
1790008063788,4,HTTP Request 1mb,200,OK,Thread Group 1-10,text,true,,1047707,130,10,10,http://192.168.122.168/page_1m.html,2,0,1
1790008063795,1,HTTP Request 100kb,200,OK,Thread Group 1-3,text,true,,134302,132,11,11,http://192.168.122.168/page_100k.html,1,0,1
1790008063795,1,HTTP Request 100kb,200,OK,Thread Group 1-4,text,true,,134302,132,11,11,http://192.168.122.168/page_100k.html,1,0,1
1790008063797,2,HTTP Request 250kb,200,OK,Thread Group 1-11,text,true,,255818,132,11,11,http://192.168.122.168/page_250k.html,2,0,1
1790008063795,4,HTTP Request 250kb,200,OK,Thread Group 1-2,text,true,,255818,132,11,11,http://192.168.122.168/page_250k.html,4,0,1
1790008063795,5,HTTP Request 1mb,200,OK,Thread Group 1-6,text,true,,1047707,130,11,11,http://192.168.122.168/page_1m.html,2,0,1
1790008063798,3,HTTP Request 750kb,200,OK,Thread Group 1-7,text,true,,767818,132,11,11,http://192.168.122.168/page_750k.html,1,0,1
1790008063807,2,HTTP Request 250kb,200,OK,Thread Group 1-12,text,true,,255818,132,12,12,http://192.168.122.168/page_250k.html,1,0,1
1790008063795,15,HTTP Request 5m,200,OK,Thread Group 1-1,text,true,,5240648,130,12,12,http://192.168.122.168/page_5m.html,3,0,1
1790008063807,3,HTTP Request 1mb,200,OK,Thread Group 1-8,text,true,,1047707,130,12,12,http://192.168.122.168/page_1m.html,1,0,1
1790008063795,15,HTTP Request 5m,200,OK,Thread Group 1-5,text,true,,5240648,130,12,12,http://192.168.122.168/page_5m.html,2,0,1
1790008063818,3,HTTP Request 500kb,200,OK,Thread Group 1-13,text,true,,669514,132,13,13,http://192.168.122.168/page_500k.html,2,0,1
1790008063818,3,HTTP Request 500kb,200,OK,Thread Group 1-9,text,true,,669514,132,13,13,http://192.168.122.168/page_500k.html,2,0,1
1790008063827,1,HTTP Request 100kb,200,OK,Thread Group 1-14,text,true,,134302,132,14,14,http://192.168.122.168/page_100k.html,1,0,0
1790008063828,2,HTTP Request 1mb,200,OK,Thread Group 1-10,text,true,,1047707,130,14,14,http://192.168.122.168/page_1m.html,1,0,0
1790008063835,1,HTTP Request 250kb,200,OK,Thread Group 1-6,text,true,,255818,132,14,14,http://192.168.122.168/page_250k.html,1,0,0
1790008063835,2,HTTP Request 500kb,200,OK,Thread Group 1-4,text,true,,669514,132,15,15,http://192.168.122.168/page_500k.html,1,0,1
1790008063835,3,HTTP Request 1mb,200,OK,Thread Group 1-3,text,true,,1047707,130,15,15,http://192.168.122.168/page_1m.html,1,0,1
1790008063837,2,HTTP Request 100kb,200,OK,Thread Group 1-15,text,true,,134302,132,15,15,http://192.168.122.168/page_100k.html,2,0,1
1790008063839,3,HTTP Request 1mb,200,OK,Thread Group 1-1,text,true,,1047707,130,15,15,http://192.168.122.168/page_1m.html,1,0,1
1790008063842,1,HTTP Request 100kb,200,OK,Thread Group 1-7,text,true,,134302,132,15,15,http://192.168.122.168/page_100k.html,1,0,0
1790008063841,2,HTTP Request 750kb,200,OK,Thread Group 1-11,text,true,,767818,132,15,15,http://192.168.122.168/page_750k.html,0,0,0
1790008063835,13,HTTP Request 5m,200,OK,Thread Group 1-2,text,true,,5240648,130,16,16,http://192.168.122.168/page_5m.html,2,0,1
1790008063848,1,HTTP Request 100kb,200,OK,Thread Group 1-16,text,true,,134302,132,16,16,http://192.168.122.168/page_100k.html,0,0,0
1790008063839,13,HTTP Request 5m,200,OK,Thread Group 1-5,text,true,,5240648,130,16,16,http://192.168.122.168/page_5m.html,1,0,1
