procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 323032  15580 452572    0    0 63909  1035 2037   48  2 22 68  8  0  0
15  0      0 308004  15580 452652    0    0     0     0 17246 5352 3 88  9  0  0  0
16  0      0 306576  15580 452716    0    0     0     0 18073 5869 4 95  1  0  0  0
19  0      0 304176  15580 452768    0    0     0     0 18276 6127 2 98  0  0  0  0
16  0      0 306728  15580 452796    0    0     0     0 18251 6480 3 94  3  0  0  0
 8  0      0 308556  15588 452876    0    0     0    64 18105 6848 3 89  8  0  0  0
22  0      0 298900  15588 452904    0    0     0     0 17969 6038 3 94  3  0  0  0
25  0      0 301140  15588 452992    0    0     0     0 18823 6269 3 97  0  0  0  0
18  0      0 297076  15588 453004    0    0     0     0 18533 6003 4 96  0  0  0  0
28  0      0 299016  15588 453096    0    0     0     0 18566 6153 3 96  1  0  0  0
14  0      0 302560  15596 453140    0    0     0    24 18395 6424 3 96  1  0  0  0
14  0      0 300976  15596 453200    0    0     0     0 18094 6128 4 93  3  0  0  0
18  0      0 303428  15596 453224    0    0     0     0 18451 6538 3 93  4  0  0  0
13  0      0 304504  15596 453284    0    0     0     0 17719 6626 4 92  4  0  0  0
24  0      0 302648  15596 453372    0    0     0     0 17549 6289 3 97  0  0  0  0
14  0      0 300800  15604 453420    0    0     0    16 18591 6724 2 98  0  0  0  0
 0  0      0 303352  15604 453480    0    0     0     0 18273 6927 3 92  5  0  0  0
18  0      0 303864  15604 453532    0    0     0     0 18222 6322 4 94  2  0  0  0
26  0      0 299936  15604 453584    0    0     0     0 17927 6521 3 96  1  0  0  0
 0  0      0 298268  15604 453688    0    0     0     0 17979 6221 3 97  0  0  0  0
25  0      0 300516  15612 453736    0    0     0    16 18248 6255 3 95  2  0  0  0
15  0      0 303032  15612 453792    0    0     0     0 18004 6549 3 95  2  0  0  0
23  0      0 296216  15612 453812    0    0     0     0 18226 6214 4 95  1  0  0  0
23  0      0 299132  15612 453904    0    0     0     0 17948 6405 3 94  3  0  0  0
19  0      0 301652  15612 453960    0    0     0     0 17932 6579 4 91  5  0  0  0
 4  0      0 295412  15620 454008    0    0     0    16 18300 6233 4 94  2  0  0  0
23  0      0 296736  15620 454032    0    0     0     0 17401 6808 2 91  7  0  0  0
28  0      0 295516  15620 454136    0    0     0   208 18261 6434 4 96  0  0  0  0
 6  0      0 295452  15620 454144    0    0     0  5096 18434 6637 4 96  0  0  0  0
 9  0      0 298260  15620 454228    0    0     0    44 18255 6860 3 94  3  0  0  0
11  0      0 301108  15632 454272    0    0     0    72 18020 6487 4 95  1  0  0  0
23  0      0 298676  15632 454300    0    0     0     4 17973 6099 3 97  0  0  0  0
 2  0      0 295484  15632 454392    0    0     0     0 17630 6288 3 97  0  0  0  0
13  0      0 297788  15632 454412    0    0     0     0 17780 6359 4 93  3  0  0  0
10  0      0 295500  15632 454496    0    0     0  1788 18580 6569 3 97  0  0  0  0
15  0      0 295956  15640 454544    0    0     0    36 18182 5875 3 97  0  0  0  0
 4  0      0 299988  15640 454608    0    0     0     0 17593 6809 3 89  8  0  0  0
16  0      0 303068  15640 454668    0    0     0     0 17853 6571 4 89  7  0  0  0
21  0      0 282476  15640 454688    0    0     0     0 18094 6522 3 96  1  0  0  0
 8  0      0 284636  15640 454776    0    0     0     0 18043 6940 4 94  2  0  0  0
13  0      0 287372  15648 454820    0    0     0    16 17440 7408 3 87 10  0  0  0
26  0      0 286196  15648 454888    0    0     0     0 18083 6927 3 96  1  0  0  0
14  0      0 286116  15648 454940    0    0     0     0 18081 6326 3 96  1  0  0  0
11  0      0 284472  15648 454992    0    0     0     0 17554 7118 3 92  5  0  0  0
42  0      0 287704  15648 455012    0    0     0     0 18223 6613 3 97  0  0  0  0
31  0      0 286840  15656 455100    0    0     0    16 18210 6508 3 96  1  0  0  0
24  0      0 283876  15656 455160    0    0     0     0 18069 6509 3 97  0  0  0  0
33  0      0 281508  15656 455180    0    0     0     0 17840 6493 4 96  0  0  0  0
15  0      0 265380  15656 455264    0    0     0     0 18079 7234 3 97  0  0  0  0
32  0      0 264464  15656 455284    0    0     0     0 17674 6606 3 95  2  0  0  0
16  0      0 266780  15664 455364    0    0     0    16 17997 6515 3 97  0  0  0  0
25  0      0 269884  15664 455392    0    0     0     0 17508 6490 3 97  0  0  0  0
17  0      0 265924  15664 455444    0    0     0     0 17228 6077 3 97  0  0  0  0
43  0      0 263684  15664 455492    0    0     0     0 16596 5746 4 96  0  0  0  0
15  0      0 256780  15664 455568    0    0     0     0 16042 5633 3 97  0  0  0  0
30  0      0 259652  15672 455580    0    0     0    16 16357 5822 4 96  0  0  0  0
13  0      0 262664  15672 455676    0    0     0     0 16838 4825 4 96  0  0  0  0
41  0      0 259548  15672 455724    0    0     0     0 16354 5140 4 96  0  0  0  0
16  0      0 253788  15672 455816    0    0     0     0 16314 6773 3 97  0  0  0  0
18  0      0 244164  15672 455836    0    0     0   172 15977 7115 4 96  0  0  0  0
28  0      0 239684  15680 457952    0    0  2032    16 15902 6504 3 97  0  0  0  0
19  0      0 242116  15680 458000    0    0     0    64 15787 6236 4 96  0  0  0  0
26  0      0 245528  15680 458016    0    0     0     8 16821 5775 4 96  0  0  0  0
24  0      0 241088  15680 458088    0    0     0     0 16365 5731 2 98  0  0  0  0
13  0      0 237744  15680 458208    0    0     0     0 17313 5563 4 96  0  0  0  0
39  0      0 232076  15688 458320    0    0     0  1568 17403 8006 3 97  0  0  0  0
37  0      0 232936  15688 458380    0    0     0     0 17155 11575 4 95 1  0  0  0
13  0      0 236284  15688 458456    0    0     0     0 17560 10335 3 97 0  0  0  0
29  0      0 239492  15688 458476    0    0     0     0 17433 10019 3 96 1  0  0  0
17  0      0 242060  15688 458568    0    0     0     0 17181 9615 3 97  0  0  0  0
13  0      0 241816  15696 458616    0    0     0    16 17454 10180 3 97 0  0  0  0
12  0      0 240792  15696 458676    0    0     0     0 17300 8652 3 97  0  0  0  0
15  0      0 238916  15696 458728    0    0     0     0 17492 9491 3 95  2  0  0  0
29  0      0 239428  15696 458784    0    0     0     0 17619 8528 3 96  1  0  0  0
 5  0      0 243160  15696 458836    0    0     0     0 17283 8477 3 96  1  0  0  0
16  0      0 241376  15704 458884    0    0     0    16 17194 7969 3 97  0  0  0  0
14  0      0 239660  15704 458944    0    0     0     0 17152 8242 4 96  0  0  0  0
11  0      0 238484  15704 458992    0    0     0     0 17192 8658 3 97  0  0  0  0
18  0      0 239188  15704 459052    0    0     0     0 17333 8718 4 96  0  0  0  0
18  0      0 243836  15704 459108    0    0     0     0 17402 8623 3 96  1  0  0  0
13  0      0 230296  15712 460800    0    0  1612    16 17235 8085 3 94  3  0  0  0
28  0      0 225216  15712 460784    0    0     0     0 17267 7992 3 97  0  0  0  0
15  0      0 232168  15712 460872    0    0     0     0 17506 8223 4 96  0  0  0  0
21  0      0 230968  15712 460924    0    0     0     0 17600 8542 3 97  0  0  0  0
31  0      0 235240  15712 460976    0    0     0     0 17676 7781 4 96  0  0  0  0
31  0      0 228404  15720 461020    0    0     0    16 17593 7500 3 97  0  0  0  0
16  0      0 231648  15720 461076    0    0     0     0 17347 8356 4 96  0  0  0  0
23  0      0 230272  15720 461136    0    0     0     0 17684 7609 3 97  0  0  0  0
35  0      0 228576  15720 461184    0    0     0     0 17516 8021 2 98  0  0  0  0
28  0      0 226144  15720 461236    0    0     0     0 17538 7709 4 96  0  0  0  0
27  0      0 231600  15728 461280    0    0     0    20 17430 8151 2 98  0  0  0  0
25  0      0 216184  15728 461764    0    0   392     0 17423 8752 3 97  0  0  0  0
38  0      0 225404  15728 461916    0    0   120     0 17602 8071 3 94  3  0  0  0
29  0      0 227472  15728 461932    0    0     0     4 17609 8337 4 94  2  0  0  0
 9  0      0 222580  15728 462016    0    0     0     0 17239 8160 3 97  0  0  0  0
33  0      0 230076  15736 462060    0    0     0  1656 17613 7748 3 96  1  0  0  0
29  0      0 222808  15736 462128    0    0     0    24 16959 7422 4 94  2  0  0  0
21  0      0 227068  15736 462176    0    0     0     0 17656 8042 3 97  0  0  0  0
 8  0      0 231484  15736 462232    0    0     0     0 17700 8204 4 95  1  0  0  0
28  0      0 229056  15736 462284    0    0     0     0 17644 8377 3 97  0  0  0  0
21  0      0 226960  15744 462336    0    0     0    16 17487 8898 3 97  0  0  0  0
21  0      0 228360  15744 462396    0    0     0     0 17609 8319 3 96  1  0  0  0
13  0      0 223592  15744 462472    0    0     0     0 17295 8411 4 96  0  0  0  0
 8  0      0 221008  15744 463024    0    0   520     0 17865 8106 3 97  0  0  0  0
18  0      0 219484  15744 463076    0    0     0     0 17556 7857 3 97  0  0  0  0
26  0      0 228732  15752 463124    0    0     0    16 17480 8206 3 95  2  0  0  0
32  0      0 225832  15752 463184    0    0     0     0 17586 8293 3 97  0  0  0  0
11  0      0 223796  15752 463236    0    0     0     0 17841 7386 4 96  0  0  0  0
16  0      0 229812  15752 463288    0    0     0     0 17699 7512 3 96  1  0  0  0
23  0      0 221768  15752 463348    0    0     0     0 17672 7873 3 96  1  0  0  0
22  0      0 222248  15760 463392    0    0     0    16 17505 7859 3 97  0  0  0  0
 4  0      0 228760  15760 463452    0    0     0     0 17730 8323 3 97  0  0  0  0
23  0      0 229904  15760 463504    0    0     0     0 17400 9002 3 91  6  0  0  0
22  0      0 212652  15760 464600    0    0  1064     0 17213 8762 3 97  0  0  0  0
29  0      0 218096  15760 464676    0    0     0     0 17798 8055 4 96  0  0  0  0
16  0      0 210992  15768 464720    0    0     0    16 17808 8131 2 98  0  0  0  0
23  0      0 219152  15768 464744    0    0     0     0 17667 7816 4 96  0  0  0  0
48  0      0 216648  15768 464824    0    0     0     4 17145 7202 4 96  0  0  0  0
52  0      0 210480  15768 464840    0    0     0     0 16256 5562 3 97  0  0  0  0
47  0      0 203220  15768 464880    0    0     0     0 15605 5961 4 96  0  0  0  0
