procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 347296  15580 430168    0    0 47420   676 2645   40  2 23 70  6  0  0
 0  0      0 346888  15580 430224    0    0     0     0 4990 1884  1 26 73  0  0  0
 2  0      0 347208  15580 430232    0    0     0     0 5102 1929  1 24 75  0  0  0
 3  0      0 347720  15580 430244    0    0     0     0 5125 1951  1 27 72  0  0  0
 0  0      0 347560  15580 430256    0    0     0     0 5117 1852  1 25 74  0  0  0
 0  0      0 343560  15588 430256    0    0     0    64 5865 2021  1 26 73  0  0  0
 2  0      0 344008  15588 430276    0    0     0     0 5168 2073  1 25 75  0  0  0
 0  0      0 344360  15588 430284    0    0     0     0 4981 1883  0 27 73  0  0  0
 0  0      0 343176  15588 430296    0    0     0     0 4699 1810  1 24 75  0  0  0
 4  0      0 342472  15588 430304    0    0     0     0 4823 1745  1 24 75  0  0  0
 0  0      0 342760  15596 430308    0    0     0    28 5458 1984  1 27 71  1  0  0
 0  0      0 342920  15596 430328    0    0     0     0 4836 1800  1 21 78  0  0  0
 1  0      0 342576  15596 430340    0    0     0     0 5153 2036  0 26 74  0  0  0
 1  0      0 342576  15596 430348    0    0     0     0 6224 1984  1 30 69  0  0  0
 0  0      0 342896  15596 430368    0    0     0     0 4850 1764  1 21 78  0  0  0
 0  0      0 331676  15604 430372    0    0     0    16 5164 1841  0 24 74  2  0  0
 0  0      0 331772  15604 430388    0    0     0     0 5279 2037  1 25 74  0  0  0
 0  0      0 331932  15604 430400    0    0     0     0 4953 1835  1 24 75  0  0  0
 0  0      0 330236  15604 430412    0    0     0     0 5117 1795  1 26 73  0  0  0
 2  0      0 330972  15604 430420    0    0     0     0 5490 1940  1 28 71  0  0  0
 0  0      0 331260  15612 430424    0    0     0    16 5071 1795  1 23 75  1  0  0
 0  0      0 330620  15612 430444    0    0     0     0 5403 1917  1 26 73  0  0  0
